clip_path,gesture_label,person_id,take_number,source,keypoint_path,frame_count,split
data/raw_clips\ball_out\ball_out_p02_101.mp4,ball_out,p02,101,volunteer,data/keypoints\ball_out\ball_out_p02_101.npy,79,train
data/raw_clips\ball_out\ball_out_p02_102.mp4,ball_out,p02,102,volunteer,data/keypoints\ball_out\ball_out_p02_102.npy,71,train
data/raw_clips\ball_out\ball_out_p02_103.mp4,ball_out,p02,103,volunteer,data/keypoints\ball_out\ball_out_p02_103.npy,74,train
data/raw_clips\ball_out\ball_out_p02_104.mp4,ball_out,p02,104,volunteer,data/keypoints\ball_out\ball_out_p02_104.npy,72,train
data/raw_clips\ball_out\ball_out_p02_105.mp4,ball_out,p02,105,volunteer,data/keypoints\ball_out\ball_out_p02_105.npy,77,train
data/raw_clips\ball_out\ball_out_p02_106.mp4,ball_out,p02,106,volunteer,data/keypoints\ball_out\ball_out_p02_106.npy,74,train
data/raw_clips\ball_out\ball_out_p02_107.mp4,ball_out,p02,107,volunteer,data/keypoints\ball_out\ball_out_p02_107.npy,80,train
data/raw_clips\ball_out\ball_out_p02_108.mp4,ball_out,p02,108,volunteer,data/keypoints\ball_out\ball_out_p02_108.npy,77,train
data/raw_clips\ball_out\ball_out_p02_109.mp4,ball_out,p02,109,volunteer,data/keypoints\ball_out\ball_out_p02_109.npy,75,train
data/raw_clips\ball_out\ball_out_p02_110.mp4,ball_out,p02,110,volunteer,data/keypoints\ball_out\ball_out_p02_110.npy,75,train
data/raw_clips\ball_out\ball_out_p02_111.mp4,ball_out,p02,111,volunteer,data/keypoints\ball_out\ball_out_p02_111.npy,75,train
data/raw_clips\ball_out\ball_out_p02_112.mp4,ball_out,p02,112,volunteer,data/keypoints\ball_out\ball_out_p02_112.npy,70,train
data/raw_clips\ball_out\ball_out_p02_113.mp4,ball_out,p02,113,volunteer,data/keypoints\ball_out\ball_out_p02_113.npy,88,train
data/raw_clips\ball_out\ball_out_p02_114.mp4,ball_out,p02,114,volunteer,data/keypoints\ball_out\ball_out_p02_114.npy,81,train
data/raw_clips\ball_out\ball_out_p02_115.mp4,ball_out,p02,115,volunteer,data/keypoints\ball_out\ball_out_p02_115.npy,73,train
data/raw_clips\ball_out\ball_out_p02_116.mp4,ball_out,p02,116,volunteer,data/keypoints\ball_out\ball_out_p02_116.npy,78,train
data/raw_clips\ball_out\ball_out_p02_117.mp4,ball_out,p02,117,volunteer,data/keypoints\ball_out\ball_out_p02_117.npy,71,train
data/raw_clips\ball_out\ball_out_p02_118.mp4,ball_out,p02,118,volunteer,data/keypoints\ball_out\ball_out_p02_118.npy,75,train
data/raw_clips\ball_out\ball_out_p02_119.mp4,ball_out,p02,119,volunteer,data/keypoints\ball_out\ball_out_p02_119.npy,73,train
data/raw_clips\ball_out\ball_out_p02_120.mp4,ball_out,p02,120,volunteer,data/keypoints\ball_out\ball_out_p02_120.npy,76,train
data/raw_clips\ball_out\ball_out_p03_1.mp4,ball_out,p03,1,volunteer,data/keypoints\ball_out\ball_out_p03_1.npy,71,train
data/raw_clips\ball_out\ball_out_p03_10.mp4,ball_out,p03,10,volunteer,data/keypoints\ball_out\ball_out_p03_10.npy,60,train
data/raw_clips\ball_out\ball_out_p03_11.mp4,ball_out,p03,11,volunteer,data/keypoints\ball_out\ball_out_p03_11.npy,64,train
data/raw_clips\ball_out\ball_out_p03_12.mp4,ball_out,p03,12,volunteer,data/keypoints\ball_out\ball_out_p03_12.npy,66,train
data/raw_clips\ball_out\ball_out_p03_13.mp4,ball_out,p03,13,volunteer,data/keypoints\ball_out\ball_out_p03_13.npy,74,train
data/raw_clips\ball_out\ball_out_p03_14.mp4,ball_out,p03,14,volunteer,data/keypoints\ball_out\ball_out_p03_14.npy,72,train
data/raw_clips\ball_out\ball_out_p03_15.mp4,ball_out,p03,15,volunteer,data/keypoints\ball_out\ball_out_p03_15.npy,73,train
data/raw_clips\ball_out\ball_out_p03_16.mp4,ball_out,p03,16,volunteer,data/keypoints\ball_out\ball_out_p03_16.npy,66,train
data/raw_clips\ball_out\ball_out_p03_17.mp4,ball_out,p03,17,volunteer,data/keypoints\ball_out\ball_out_p03_17.npy,69,train
data/raw_clips\ball_out\ball_out_p03_18.mp4,ball_out,p03,18,volunteer,data/keypoints\ball_out\ball_out_p03_18.npy,71,train
data/raw_clips\ball_out\ball_out_p03_19.mp4,ball_out,p03,19,volunteer,data/keypoints\ball_out\ball_out_p03_19.npy,63,train
data/raw_clips\ball_out\ball_out_p03_2.mp4,ball_out,p03,2,volunteer,data/keypoints\ball_out\ball_out_p03_2.npy,68,train
data/raw_clips\ball_out\ball_out_p03_20.mp4,ball_out,p03,20,volunteer,data/keypoints\ball_out\ball_out_p03_20.npy,69,train
data/raw_clips\ball_out\ball_out_p03_21.mp4,ball_out,p03,21,volunteer,data/keypoints\ball_out\ball_out_p03_21.npy,72,train
data/raw_clips\ball_out\ball_out_p03_22.mp4,ball_out,p03,22,volunteer,data/keypoints\ball_out\ball_out_p03_22.npy,60,train
data/raw_clips\ball_out\ball_out_p03_23.mp4,ball_out,p03,23,volunteer,data/keypoints\ball_out\ball_out_p03_23.npy,72,train
data/raw_clips\ball_out\ball_out_p03_24.mp4,ball_out,p03,24,volunteer,data/keypoints\ball_out\ball_out_p03_24.npy,71,train
data/raw_clips\ball_out\ball_out_p03_25.mp4,ball_out,p03,25,volunteer,data/keypoints\ball_out\ball_out_p03_25.npy,69,train
data/raw_clips\ball_out\ball_out_p03_26.mp4,ball_out,p03,26,volunteer,data/keypoints\ball_out\ball_out_p03_26.npy,75,train
data/raw_clips\ball_out\ball_out_p03_27.mp4,ball_out,p03,27,volunteer,data/keypoints\ball_out\ball_out_p03_27.npy,72,train
data/raw_clips\ball_out\ball_out_p03_28.mp4,ball_out,p03,28,volunteer,data/keypoints\ball_out\ball_out_p03_28.npy,72,train
data/raw_clips\ball_out\ball_out_p03_29.mp4,ball_out,p03,29,volunteer,data/keypoints\ball_out\ball_out_p03_29.npy,75,train
data/raw_clips\ball_out\ball_out_p03_3.mp4,ball_out,p03,3,volunteer,data/keypoints\ball_out\ball_out_p03_3.npy,66,train
data/raw_clips\ball_out\ball_out_p03_30.mp4,ball_out,p03,30,volunteer,data/keypoints\ball_out\ball_out_p03_30.npy,63,train
data/raw_clips\ball_out\ball_out_p03_31.mp4,ball_out,p03,31,volunteer,data/keypoints\ball_out\ball_out_p03_31.npy,70,train
data/raw_clips\ball_out\ball_out_p03_32.mp4,ball_out,p03,32,volunteer,data/keypoints\ball_out\ball_out_p03_32.npy,78,train
data/raw_clips\ball_out\ball_out_p03_33.mp4,ball_out,p03,33,volunteer,data/keypoints\ball_out\ball_out_p03_33.npy,72,train
data/raw_clips\ball_out\ball_out_p03_34.mp4,ball_out,p03,34,volunteer,data/keypoints\ball_out\ball_out_p03_34.npy,64,train
data/raw_clips\ball_out\ball_out_p03_35.mp4,ball_out,p03,35,volunteer,data/keypoints\ball_out\ball_out_p03_35.npy,66,train
data/raw_clips\ball_out\ball_out_p03_36.mp4,ball_out,p03,36,volunteer,data/keypoints\ball_out\ball_out_p03_36.npy,68,train
data/raw_clips\ball_out\ball_out_p03_37.mp4,ball_out,p03,37,volunteer,data/keypoints\ball_out\ball_out_p03_37.npy,69,train
data/raw_clips\ball_out\ball_out_p03_38.mp4,ball_out,p03,38,volunteer,data/keypoints\ball_out\ball_out_p03_38.npy,65,train
data/raw_clips\ball_out\ball_out_p03_39.mp4,ball_out,p03,39,volunteer,data/keypoints\ball_out\ball_out_p03_39.npy,60,train
data/raw_clips\ball_out\ball_out_p03_4.mp4,ball_out,p03,4,volunteer,data/keypoints\ball_out\ball_out_p03_4.npy,72,train
data/raw_clips\ball_out\ball_out_p03_40.mp4,ball_out,p03,40,volunteer,data/keypoints\ball_out\ball_out_p03_40.npy,69,train
data/raw_clips\ball_out\ball_out_p03_41.mp4,ball_out,p03,41,volunteer,data/keypoints\ball_out\ball_out_p03_41.npy,67,train
data/raw_clips\ball_out\ball_out_p03_42.mp4,ball_out,p03,42,volunteer,data/keypoints\ball_out\ball_out_p03_42.npy,66,train
data/raw_clips\ball_out\ball_out_p03_43.mp4,ball_out,p03,43,volunteer,data/keypoints\ball_out\ball_out_p03_43.npy,69,train
data/raw_clips\ball_out\ball_out_p03_44.mp4,ball_out,p03,44,volunteer,data/keypoints\ball_out\ball_out_p03_44.npy,63,train
data/raw_clips\ball_out\ball_out_p03_45.mp4,ball_out,p03,45,volunteer,data/keypoints\ball_out\ball_out_p03_45.npy,73,train
data/raw_clips\ball_out\ball_out_p03_46.mp4,ball_out,p03,46,volunteer,data/keypoints\ball_out\ball_out_p03_46.npy,71,train
data/raw_clips\ball_out\ball_out_p03_47.mp4,ball_out,p03,47,volunteer,data/keypoints\ball_out\ball_out_p03_47.npy,65,train
data/raw_clips\ball_out\ball_out_p03_48.mp4,ball_out,p03,48,volunteer,data/keypoints\ball_out\ball_out_p03_48.npy,69,train
data/raw_clips\ball_out\ball_out_p03_49.mp4,ball_out,p03,49,volunteer,data/keypoints\ball_out\ball_out_p03_49.npy,72,train
data/raw_clips\ball_out\ball_out_p03_5.mp4,ball_out,p03,5,volunteer,data/keypoints\ball_out\ball_out_p03_5.npy,72,train
data/raw_clips\ball_out\ball_out_p03_50.mp4,ball_out,p03,50,volunteer,data/keypoints\ball_out\ball_out_p03_50.npy,88,train
data/raw_clips\ball_out\ball_out_p03_6.mp4,ball_out,p03,6,volunteer,data/keypoints\ball_out\ball_out_p03_6.npy,63,train
data/raw_clips\ball_out\ball_out_p03_7.mp4,ball_out,p03,7,volunteer,data/keypoints\ball_out\ball_out_p03_7.npy,71,train
data/raw_clips\ball_out\ball_out_p03_8.mp4,ball_out,p03,8,volunteer,data/keypoints\ball_out\ball_out_p03_8.npy,69,train
data/raw_clips\ball_out\ball_out_p03_9.mp4,ball_out,p03,9,volunteer,data/keypoints\ball_out\ball_out_p03_9.npy,79,train
data/raw_clips\ball_out\ball_out_p06_1.mp4,ball_out,p06,1,volunteer,data/keypoints\ball_out\ball_out_p06_1.npy,66,train
data/raw_clips\ball_out\ball_out_p06_10.mp4,ball_out,p06,10,volunteer,data/keypoints\ball_out\ball_out_p06_10.npy,65,train
data/raw_clips\ball_out\ball_out_p06_11.mp4,ball_out,p06,11,volunteer,data/keypoints\ball_out\ball_out_p06_11.npy,84,train
data/raw_clips\ball_out\ball_out_p06_12.mp4,ball_out,p06,12,volunteer,data/keypoints\ball_out\ball_out_p06_12.npy,78,train
data/raw_clips\ball_out\ball_out_p06_13.mp4,ball_out,p06,13,volunteer,data/keypoints\ball_out\ball_out_p06_13.npy,80,train
data/raw_clips\ball_out\ball_out_p06_14.mp4,ball_out,p06,14,volunteer,data/keypoints\ball_out\ball_out_p06_14.npy,84,train
data/raw_clips\ball_out\ball_out_p06_15.mp4,ball_out,p06,15,volunteer,data/keypoints\ball_out\ball_out_p06_15.npy,81,train
data/raw_clips\ball_out\ball_out_p06_16.mp4,ball_out,p06,16,volunteer,data/keypoints\ball_out\ball_out_p06_16.npy,77,train
data/raw_clips\ball_out\ball_out_p06_17.mp4,ball_out,p06,17,volunteer,data/keypoints\ball_out\ball_out_p06_17.npy,72,train
data/raw_clips\ball_out\ball_out_p06_18.mp4,ball_out,p06,18,volunteer,data/keypoints\ball_out\ball_out_p06_18.npy,81,train
data/raw_clips\ball_out\ball_out_p06_19.mp4,ball_out,p06,19,volunteer,data/keypoints\ball_out\ball_out_p06_19.npy,75,train
data/raw_clips\ball_out\ball_out_p06_2.mp4,ball_out,p06,2,volunteer,data/keypoints\ball_out\ball_out_p06_2.npy,76,train
