match_id,type,t_anchor_sec,vlc_jump_time,vlc_cli_start_time,onset_before_at_after,duration_short_or_long,single_or_double,silence_after_sec,notes
match13,other,3576.632,59:36.63,3575.63,,,,,
match2,other,297.794,04:57.79,296.79,,,,,
match8,serve,2376.325,39:36.32,2375.32,,,,,
match4,rally_end,2098.627,34:58.63,2097.63,,,,,
match4,serve,2864.934,47:44.93,2863.93,,,,,
match8,serve,636.212,10:36.21,635.21,,,,,
match11,rally_end,5037.085,83:57.09,5036.09,,,,,
match3,rally_end,3705.7,61:45.70,3704.70,,,,,
match4,rally_end,4056.17,67:36.17,4055.17,,,,,
match9,rally_end,2953.884,49:13.88,2952.88,,,,,
match7,other,1766.484,29:26.48,1765.48,,,,,
match1,rally_end,1001.189,16:41.19,1000.19,,,,,
match11,other,96.784,01:36.78,95.78,,,,,
match11,serve,3238.032,53:58.03,3237.03,,,,,
match7,serve,2281.12,38:01.12,2280.12,,,,,
match4,rally_end,412.332,06:52.33,411.33,,,,,
match4,serve,3135.777,52:15.78,3134.78,,,,,
match1,other,713.935,11:53.93,712.93,,,,,
match4,other,117.748,01:57.75,116.75,,,,,
match11,serve,5217.092,86:57.09,5216.09,,,,,
match3,other,3268.305,54:28.30,3267.30,,,,,
match1,serve,2749.967,45:49.97,2748.97,,,,,
match2,other,1350.157,22:30.16,1349.16,,,,,
match7,serve,1933.582,32:13.58,1932.58,,,,,
match1,rally_end,562.961,09:22.96,561.96,,,,,
match3,rally_end,3524.149,58:44.15,3523.15,,,,,
match1,other,4467.557,74:27.56,4466.56,,,,,
match2,EDGE_CASE_PAIR,3175.884,52:54.88,3174.88,,,,gap_to_next=0.267s,"EDGE CASE: is this one long whistle logged twice, or two real rapid blasts?"
