source_file,t_candidate_sec,vlc_jump_time,confirmed,notes
positive_audio\positive_audio.WAV,17.1,00:16.10,y,
positive_audio\positive_audio.WAV,19.5,00:18.50,y,
positive_audio\positive_audio.WAV,27.8,00:26.80,y,
positive_audio\positive_audio.WAV,30.3,00:29.30,y,
positive_audio\positive_audio.WAV,32.8,00:31.80,y,
positive_audio\positive_audio.WAV,35.0,00:34.00,y,
positive_audio\positive_audio.WAV,37.4,00:36.40,y,
positive_audio\positive_audio.WAV,39.5,00:38.50,y,
positive_audio\positive_audio.WAV,41.7,00:40.70,y,
positive_audio\positive_audio.WAV,44.3,00:43.30,y,
positive_audio\positive_audio.WAV,47.1,00:46.10,y,
positive_audio\positive_audio.WAV,49.4,00:48.40,y,
positive_audio\positive_audio.WAV,53.6,00:52.60,y,
positive_audio\positive_audio.WAV,55.3,00:54.30,y,
positive_audio\positive_audio.WAV,61.3,01:00.30,y,
positive_audio\positive_audio.WAV,74.8,01:13.80,y,
positive_audio\positive_audio.WAV,77.6,01:16.60,y,
positive_audio\positive_audio.WAV,80.1,01:19.10,y,
positive_audio\positive_audio.WAV,82.8,01:21.80,y,
positive_audio\positive_audio.WAV,85.6,01:24.60,y,
positive_audio\positive_audio.WAV,90.2,01:29.20,y,
positive_audio\positive_audio.WAV,107.5,01:46.50,y,
positive_audio\positive_audio.WAV,114.0,01:53.00,y,
positive_audio\positive_audio.WAV,115.6,01:54.60,y,
positive_audio\positive_audio.WAV,119.3,01:58.30,y,
positive_audio\positive_audio.WAV,121.2,02:00.20,y,
positive_audio\positive_audio.WAV,127.1,02:06.10,y,
positive_audio\positive_audio.WAV,129.6,02:08.60,y,
positive_audio\positive_audio.WAV,131.5,02:10.50,y,
positive_audio\positive_audio.WAV,136.0,02:15.00,y,
positive_audio\positive_audio.WAV,138.1,02:17.10,y,
positive_audio\positive_audio.WAV,140.4,02:19.40,y,
positive_audio\positive_audio.WAV,144.5,02:23.50,y,
positive_audio\positive_audio.WAV,146.6,02:25.60,y,
positive_audio\positive_audio.WAV,148.9,02:27.90,y,
positive_audio\positive_audio.WAV,150.8,02:29.80,y,
positive_audio\positive_audio.WAV,152.7,02:31.70,y,
positive_audio\positive_audio.WAV,154.8,02:33.80,y,
positive_audio\positive_audio.WAV,157.1,02:36.10,y,
positive_audio\positive_audio.WAV,159.6,02:38.60,y,
positive_audio\positive_audio.WAV,161.8,02:40.80,y,
